title,score,type,status,start_date,end_date,members,favorites,sfw,genres_score,themes_score,demographics_score,serializations_score
Shigatsu wa Kimi no Uso,8.6,manga,finished,2011-04-06,2015-02-06,72787,2532,TRUE,7.299304271125783,7.1056986646042795,7.02829368334701,7.28756756756757
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,8.92,light_novel,finished,2015-05-25,2019-09-25,66068,6348,TRUE,7.11037890424987,7.0541430740530995,6.93,6.93
The Horizon,8.71,manhwa,finished,2016-03-30,2016-07-21,52292,3089,TRUE,7.114644759387505,7.10944881889764,6.93,8.345
Beck,8.68,manga,finished,2000-02-17,2008-06-05,65418,4226,TRUE,7.196239402062336,7.21256,7.02829368334701,7.28756756756757
Kamisama Hajimemashita,8.53,manga,finished,2008-02-20,2016-05-20,80020,5047,TRUE,7.012595534356185,7.0183203125,7.01893118148599,7.25844720496894
The Breaker: New Waves,8.39,manhwa,finished,2010-10-08,2015-05-08,86265,4244,TRUE,7.0338962741416875,7.0310068998984,6.93,7.42461538461538
Eyeshield 21,8.48,manga,finished,2002-07-23,2009-06-15,69436,4183,TRUE,7.05407407407407,7.16848484848485,7.02829368334701,6.91140992167102
Orange,8.34,manga,finished,2012-03-13,2017-01-25,138907,6796,TRUE,7.041523764882854,7.20599098460756,7.01893118148599,6.94818181818182
Kiseijuu,8.39,manga,finished,1989-11-22,1995-12-23,91822,4095,TRUE,7.162504450444365,7.221970786260415,6.92562576938859,7.10347107438017
21st Century Boys,8.42,manga,finished,2006-12-25,2007-07-14,69007,633,TRUE,7.258365138093703,7.10944881889764,6.92562576938859,7.11238095238095
Kimetsu no Yaiba,8.28,manga,finished,2016-02-15,2020-05-18,354784,26075,TRUE,7.03818578041982,7.16427514792899,7.02829368334701,6.91140992167102
Utsuro no Hako to Zero no Maria,8.74,light_novel,finished,2009-01-10,2015-06-10,95862,5188,TRUE,7.037037938553931,7.0541430740530995,6.93,6.93
Shoujo Shuumatsu Ryokou,8.7,manga,finished,2014-02-21,2018-01-12,49551,4402,TRUE,7.33314516255037,7.53714285714286,6.93,7.1225
Claymore,8.3,manga,finished,2001-05-06,2014-10-04,169018,12161,TRUE,7.004471228772703,7.33449275362319,7.02829368334701,7.12459770114943
Look Back,8.41,manga,finished,2021-07-19,2021-07-19,50474,1391,TRUE,7.103990983338125,6.93,7.02829368334701,7.02809523809524
Boku dake ga Inai Machi,8.39,manga,finished,2012-06-04,2016-11-04,79995,3156,TRUE,7.074604924242426,7.119989896174484,6.92562576938859,6.9187323943662
Kokou no Hito,8.64,manga,finished,2007-01-01,2012-01-01,65982,3456,TRUE,7.08222648916197,7.10944881889764,6.92562576938859,6.98233082706767
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,8.79,light_novel,finished,2011-03-18,2021-04-20,64907,3968,TRUE,6.99514661646792,7.243720990185675,6.93,6.93
Holyland,8.47,manga,finished,2000-10-13,2008-05-23,70115,3330,TRUE,7.03491295938104,7.2437639853841835,6.92562576938859,6.95280701754386
Koe no Katachi,8.4,one_shot,finished,2011-01-08,2011-01-08,57849,637,TRUE,7.11037890424987,6.99883732920856,7.02829368334701,7.01647058823529
Wotaku ni Koi wa Muzukashii,8.36,manga,finished,2015-04-30,2021-07-16,110992,5189,TRUE,6.99514661646792,7.47956316590563,6.93,7.30333333333333
Mushishi,8.74,manga,finished,1999-11-01,2008-08-25,70694,2581,TRUE,7.24339756516076,7.42659138981847,6.92562576938859,7.10347107438017
Chikan Otoko,8.52,manga,finished,2004-01-01,2004-01-01,43514,2813,TRUE,7.049568799903023,6.93,6.93,6.93
Dengeki Daisy,8.31,manga,finished,2007-05-12,2013-12-24,112313,7878,TRUE,7.033557379061904,6.93,7.01893118148599,7.04922330097087
Tokyo Ghoul:re,8.25,manga,finished,2014-10-16,2018-07-05,247000,18365,TRUE,6.966324766855223,7.221970786260415,6.92562576938859,6.98233082706767
JoJo no Kimyou na Bouken Part 6: Stone Ocean,8.25,manga,finished,1999-12-07,2003-04-08,178511,11271,TRUE,7.07691178695309,6.93,7.02829368334701,6.91140992167102
Ansatsu Kyoushitsu,8.27,manga,finished,2012-07-02,2016-04-25,140734,6684,TRUE,7.010297046944495,6.99883732920856,7.02829368334701,6.91140992167102
Golden Kamuy,8.6,manga,finished,2014-08-21,2022-04-28,71759,4032,TRUE,7.3122484615352565,7.16427514792899,6.92562576938859,6.98233082706767
Magi,8.28,manga,finished,2009-06-03,2017-10-11,134272,9257,TRUE,7.3144303422277765,6.93,7.02829368334701,7.22040229885057
Kimi no Na wa.,8.4,manga,finished,2016-05-27,2017-01-27,75744,1395,TRUE,7.064504603640085,7.15818181818182,6.92562576938859,6.87876033057851
xxxHOLiC,8.38,manga,finished,2003-02-24,2011-02-09,75228,4783,TRUE,7.061317471810668,6.93,6.92562576938859,7.01152173913044
Yokohama Kaidashi Kikou,8.71,manga,finished,1994-04-25,2006-02-25,62105,4522,TRUE,7.25012101733666,7.53714285714286,6.92562576938859,7.10347107438017
Homunculus,8.35,manga,finished,2003-03-17,2011-02-21,94310,5102,TRUE,7.020547873115188,7.10944881889764,6.92562576938859,7.11238095238095
Hellsing,8.31,manga,finished,1997-04-30,2008-09-30,83023,5362,TRUE,6.95871533404579,7.2766452698776,6.92562576938859,6.98133333333333
Gunnm,8.42,manga,finished,1990-11-01,1995-03-01,71141,4196,TRUE,7.02224662567592,6.93,6.92562576938859,7.11130434782609
Cardcaptor Sakura,8.38,manga,finished,1996-05-02,2000-07-03,57601,3638,TRUE,7.186716851923834,7.25,7.01893118148599,7.10766990291262
Kaze no Tani no Nausicaä,8.83,manga,finished,1982-10-09,1994-02-10,49859,3087,TRUE,7.199366857818934,6.93,6.93,7.69333333333333
Monogatari Series: First Season,8.95,light_novel,finished,2006-11-01,2010-07-28,52230,2833,TRUE,7.034883208160346,7.02945701357466,6.93,7.81
Beastars,8.29,manga,finished,2016-09-08,2020-10-08,95159,6409,TRUE,7.33030125912528,7.21704148261955,7.02829368334701,7.02941860465116
Tsubasa: RESERVoir CHRoNiCLE,8.31,manga,finished,2003-05-21,2009-10-07,74372,6052,TRUE,7.076415269903663,6.93,7.02829368334701,7.25005747126437
Ashita no Joe,8.94,manga,finished,1968-01-01,1973-05-13,42113,3586,TRUE,7.08735201358344,7.12978723404255,7.02829368334701,7.25005747126437
Shimanami Tasogare,8.52,manga,finished,2015-03-06,2018-05-23,48995,3053,TRUE,7.103990983338125,7.10944881889764,6.92562576938859,7.42
Blame!,8.3,manga,finished,1997-01-25,2003-07-25,122040,6994,TRUE,6.9943687238319345,7.10944881889764,6.92562576938859,7.10347107438017
Kimi ni Todoke,8.27,manga,finished,2005-08-11,2017-11-13,104735,4785,TRUE,7.29504565718462,6.99883732920856,7.01893118148599,7.10311688311688
Aku no Hana,8.23,manga,finished,2009-09-09,2014-05-09,130681,10385,TRUE,7.05749550133888,7.0541430740530995,7.02829368334701,7.01647058823529
Liar Game,8.31,manga,finished,2005-02-17,2015-01-22,98250,5021,TRUE,7.11037890424987,7.19174524437761,6.92562576938859,6.98233082706767
Kimi no Suizou wo Tabetai,8.49,manga,finished,2016-08-25,2017-05-25,35408,1433,TRUE,7.11037890424987,6.93,6.93,6.94818181818182
Yakusoku no Neverland,8.19,manga,finished,2016-08-01,2020-06-15,275152,18917,TRUE,7.265157666933195,7.19347440944882,7.02829368334701,6.91140992167102
Dr. Stone,8.21,manga,finished,2017-03-06,2022-03-07,160118,8840,TRUE,7.303804239065177,7.204015486725664,7.02829368334701,6.91140992167102
Lovely★Complex,8.35,manga,finished,2001-08-13,2007-08-13,57025,2615,TRUE,7.2208984869713255,6.99883732920856,7.01893118148599,7.10311688311688
Kono Subarashii Sekai ni Shukufuku wo!,8.62,light_novel,finished,2013-10-01,2020-05-01,46682,2539,TRUE,7.048683450163897,7.207092946605143,6.93,6.93
Imawa no Kuni no Alice,8.41,manga,finished,2010-11-25,2016-03-02,57256,2485,TRUE,6.95871533404579,7.278377634509518,7.02829368334701,7.06137931034483
Hoshi no Samidare,8.4,manga,finished,2005-06-30,2010-08-30,51232,3190,TRUE,7.03740082529229,7.10944881889764,6.92562576938859,6.4251724137931
Annarasumanara,8.32,manhwa,finished,2010-07-02,2010-12-31,61143,2736,TRUE,7.081856849377437,7.0541430740530995,6.92562576938859,7.4291
Spirit Circle,8.51,manga,finished,2012-05-30,2016-03-30,37238,2013,TRUE,7.0455210023536985,7.39810810810811,6.92562576938859,6.98133333333333
SQ: Begin W/Your Name!,8.38,manhua,finished,2015-10-05,2015-10-05,53989,2195,TRUE,6.946009505038717,6.99883732920856,6.93,6.93
Uzumaki,8.17,manga,finished,1998-01-12,1999-08-30,185191,12931,TRUE,6.983870649002067,6.93,6.92562576938859,7.11238095238095
Azumanga Daioh,8.34,manga,finished,1999-01-18,2002-03-21,45021,3032,TRUE,7.041642098467165,7.164271605780749,6.93,6.92595419847328
Solanin,8.24,manga,finished,2005-06-30,2006-04-06,95539,4654,TRUE,7.103990983338125,6.93,6.92562576938859,7.07848484848485
Love So Life,8.32,manga,finished,2008-04-15,2015-07-18,55876,1816,TRUE,7.049568799903023,7.54628571428571,7.01893118148599,7.25844720496894
Taiyou no Ie,8.25,manga,finished,2010-04-24,2015-05-23,86347,3406,TRUE,7.29504565718462,6.93,7.01893118148599,7.09650602409639
Jigokuraku,8.27,manga,finished,2018-01-22,2021-01-25,94087,3953,TRUE,7.03491295938104,7.16427514792899,7.02829368334701,7.02809523809524
Hirunaka no Ryuusei,8.23,manga,finished,2011-05-20,2014-11-05,86971,5542,TRUE,7.02929876512074,7.243720990185675,7.01893118148599,6.9952380952381
Blade of the Immortal,8.43,manga,finished,1993-06-25,2012-12-25,68569,2672,TRUE,7.070708195296588,7.146010442887387,6.92562576938859,7.10347107438017
Sweet Home,8.28,manhwa,finished,2017-10-12,2020-07-02,56465,2156,TRUE,7.026360905741194,7.33449275362319,6.93,7.4291
Hinamatsuri,8.49,manga,finished,2010-06-15,2020-07-15,47067,1866,TRUE,7.002155718769125,7.4578650793650745,6.92562576938859,6.97666666666667
Angel Densetsu,8.31,manga,finished,1992-05-07,2000-02-05,50139,2065,TRUE,7.008402064105627,7.206893488821157,7.02829368334701,7.08
Ao Haru Ride,8.16,manga,finished,2011-01-13,2015-02-13,165957,8268,TRUE,7.049568799903023,6.99883732920856,7.01893118148599,7.10311688311688
Last Game,8.2,manga,finished,2011-08-24,2016-06-24,93798,4007,TRUE,6.99514661646792,6.93,7.01893118148599,7.19299145299145
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.17,manga,finished,1995-11-28,1999-03-23,98808,5220,TRUE,7.07691178695309,7.36944444444444,7.02829368334701,6.91140992167102
Gakuen Alice,8.33,manga,finished,2002-09-05,2013-06-20,39669,3054,TRUE,7.04803001937891,7.16587871837621,7.01893118148599,7.25844720496894
JoJo no Kimyou na Bouken Part 2: Sentou Chouryuu,8.17,manga,finished,1987-10-20,1989-03-14,91012,3209,TRUE,7.07691178695309,7.096866080751825,7.02829368334701,6.91140992167102
Banana Fish,8.64,manga,finished,1985-04-13,1994-03-12,45323,2033,TRUE,7.088067492718683,7.55866666666667,7.01893118148599,7.04922330097087
Beelzebub,8.15,manga,finished,2009-02-23,2015-03-13,109807,4905,TRUE,7.013074798973097,7.280527505665235,7.02829368334701,6.91140992167102
Kengan Ashura,8.3,manga,finished,2012-04-18,2018-08-23,46669,2096,TRUE,7.03491295938104,7.06317647058824,6.93,7.24933333333333
Hana to Akuma,8.31,manga,finished,2007-10-20,2010-11-20,42577,1650,TRUE,7.048556764521527,7.091297730214495,7.01893118148599,7.25844720496894
Gantz,8.12,manga,finished,2000-07-13,2013-06-20,201340,16749,TRUE,6.999221039671608,7.24048052417361,6.92562576938859,6.98233082706767
Katekyo Hitman Reborn!,8.13,manga,finished,2004-05-24,2012-11-12,115623,9566,TRUE,7.010297046944495,7.126158649470093,7.02829368334701,6.91140992167102
Tonari no Kaibutsu-kun,8.15,manga,finished,2008-08-23,2013-11-22,99015,3420,TRUE,6.99514661646792,6.99883732920856,7.01893118148599,7.09650602409639
Yuu☆Yuu☆Hakusho,8.2,manga,finished,1990-11-20,1994-07-12,59686,2464,TRUE,7.18650502237375,6.93,7.02829368334701,6.91140992167102
Ookami to Koushinryou,8.46,manga,finished,2007-09-27,2017-12-27,36644,1981,TRUE,7.05879810433836,7.371315656156275,6.92562576938859,7.04830188679245
Kishuku Gakkou no Juliet,8.23,manga,finished,2015-07-09,2019-09-04,50339,2412,TRUE,7.008402064105627,6.99883732920856,7.02829368334701,7.25005747126437
Noblesse,8.15,manhwa,finished,2007-12-30,2019-01-07,99179,4869,TRUE,7.039533752861107,6.99883732920856,6.93,7.4291
Doukyuusei,8.31,manga,finished,2006-07-25,2007-07-27,33480,1298,TRUE,7.021331667832531,6.99883732920856,6.93,7.09974358974359
Paradise Kiss,8.28,manga,finished,1999-03-23,2003-03-22,42859,2173,TRUE,7.05749550133888,7.36516866460428,6.93841503267974,7.42666666666667
Billy Bat,8.43,manga,finished,2008-10-16,2016-08-18,46371,1590,TRUE,7.086529584244907,7.156415925450147,6.92562576938859,7.13910447761194
Death Note Another Note: Los Angeles BB Renzoku Satsujin Jiken,8.32,novel,finished,2006-08-01,2006-08-01,32395,853,TRUE,7.13057954545455,6.93,6.93,6.93
Hanazakari no Kimitachi e,8.29,manga,finished,1996-08-20,2004-08-20,34232,1899,TRUE,7.033557379061904,7.1193393706861965,7.01893118148599,7.25844720496894
Tsurezure Children,8.24,manga,finished,2014-08-09,2018-07-11,52104,1750,TRUE,6.99514661646792,6.99883732920856,7.02829368334701,7.25005747126437
One Outs,8.57,manga,finished,1998-11-14,2006-08-15,28920,1175,TRUE,7.05407407407407,7.285429943922017,6.92562576938859,7.11130434782609
Soul Eater,8.09,manga,finished,2003-06-24,2013-08-12,167660,9415,TRUE,7.031667287956647,6.93,7.02829368334701,7.11204819277108
Here U Are,8.48,manhua,finished,2017-11-22,2020-12-15,22120,1285,TRUE,7.051014079971644,6.99883732920856,6.93,6.93
No.6,8.29,manga,finished,2011-01-28,2013-11-28,43775,2154,TRUE,7.071362925264065,6.93,7.01893118148599,7.03311475409836
Naruto,8.06,manga,finished,1999-09-21,2014-11-10,381366,42103,TRUE,7.065094058454926,7.06317647058824,7.02829368334701,6.91140992167102
Mars,8.33,manga,finished,1996-01-13,2000-11-13,30515,1815,TRUE,7.070864688368046,7.10944881889764,7.01893118148599,7.0719014084507
Kuroko no Basket,8.13,manga,finished,2008-12-08,2014-09-01,71219,3853,TRUE,7.01987760429101,7.083661088846705,7.02829368334701,6.91140992167102
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,8.1,manga,finished,1989-03-20,1992-04-14,84115,3160,TRUE,7.057484625645493,6.93,7.02829368334701,6.91140992167102
Shingeki no Kyojin: Kuinaki Sentaku,8.17,manga,finished,2013-11-28,2014-06-28,48076,1091,TRUE,7.03491295938104,6.93,7.01893118148599,7.03311475409836
Gin no Saji,8.33,manga,finished,2011-04-06,2019-11-27,36389,1439,TRUE,7.292993949819137,6.99883732920856,7.02829368334701,7.22040229885057
Bishoujo Senshi Sailor Moon,8.19,manga,finished,1991-12-28,1997-02-03,47898,4123,TRUE,7.2348428537089875,7.25,7.01893118148599,7.10766990291262
Rosario to Vampire: Season II,8.14,manga,finished,2007-11-04,2014-04-19,62367,3428,TRUE,6.960857885592425,6.989932449598413,7.02829368334701,7.12459770114943
Jujutsu Kaisen 0: Tokyo Toritsu Jujutsu Koutou Senmon Gakkou,8.09,manga,finished,2017-04-28,2017-07-28,71390,1241,TRUE,7.02677163120567,7.0183203125,7.02829368334701,7.02916666666667
Sakamichi no Apollon,8.53,manga,finished,2007-09-28,2012-01-28,26668,906,TRUE,7.248878968950932,7.233333993457117,6.93841503267974,7.28694444444444
Planetes,8.3,manga,finished,1999-01-14,2004-01-08,44193,1591,TRUE,7.25012101733666,7.327056967213335,6.92562576938859,7.13910447761194
Barakamon,8.44,manga,finished,2008-02-22,2019-01-10,36255,1327,TRUE,7.041642098467165,7.60497619047619,7.02829368334701,6.95611570247934
Seven Days,8.15,manga,finished,2007-09-01,2009-06-01,52522,1986,TRUE,7.015758478030984,6.99883732920856,6.93,7.28581395348837
NHK ni Youkoso!,8.17,manga,finished,2003-12-26,2007-04-26,52022,2940,TRUE,7.033557379061904,7.29572440944882,7.02829368334701,7.00973214285714
Konjiki no Gash!!,8.35,manga,finished,2001-01-10,2007-12-26,27434,1867,TRUE,7.188211364428804,6.93,7.02829368334701,7.22040229885057
Shijou Saikyou no Deshi Kenichi,8.11,manga,finished,2002-08-09,2014-09-17,65463,3371,TRUE,6.952706303721907,7.06317647058824,7.02829368334701,7.22040229885057
Aria,8.62,manga,finished,2002-02-28,2008-02-29,32586,2348,TRUE,7.064430801536028,7.53714285714286,7.02829368334701,7.06765957446809
Tasogare Otome x Amnesia,8.23,manga,finished,2008-04-22,2013-09-21,43022,1596,TRUE,6.994106171659692,6.99883732920856,7.02829368334701,7.18098360655738
Akumetsu,8.18,manga,finished,2002-10-01,2006-04-06,57314,1772,TRUE,7.094280294412917,7.152486314210725,7.02829368334701,7.02941860465116
SKET Dance,8.38,manga,finished,2007-07-14,2013-07-08,29507,1407,TRUE,7.292993949819137,6.99883732920856,7.02829368334701,6.91140992167102
Yamada-kun to 7-nin no Majo,8.07,manga,finished,2012-02-22,2017-02-22,109486,5145,TRUE,7.034875770355173,6.97017016761029,7.02829368334701,7.25005747126437
Sora no Otoshimono,8.19,manga,finished,2007-03-26,2014-02-26,41253,2132,TRUE,6.958020929181056,6.99883732920856,7.02829368334701,7.00973214285714
"Ohayou, Ibarahime",8.52,manga,finished,2014-11-22,2017-05-24,28515,1002,TRUE,7.0116212007290954,6.93,7.01893118148599,7.09650602409639
Koukou Debut,8.12,manga,finished,2003-08-13,2013-05-13,61778,2193,TRUE,7.049568799903023,6.99883732920856,7.01893118148599,7.10311688311688
Totsukuni no Shoujo,8.31,manga,finished,2015-09-05,2021-03-05,56336,2139,TRUE,7.0186303030303,6.93,7.02829368334701,7.33466666666667
Cat Street,8.26,manga,finished,2004-07-13,2007-09-13,31013,1011,TRUE,7.05749550133888,7.489873754152825,7.01893118148599,7.10311688311688
Sabishisugite Lesbian Fuuzoku ni Ikimashita Report,8.13,manga,finished,2016-06-17,2016-06-17,40286,2316,TRUE,7.09760306242638,7.33357142857143,6.93,6.93
Shingetsutan Tsukihime,8.19,manga,finished,2003-08-21,2010-07-27,36090,1844,TRUE,6.970189525141315,7.02945701357466,6.93,6.92595419847328
Eden: It's an Endless World!,8.27,manga,finished,1997-09-25,2008-06-25,49423,1878,TRUE,7.051624051867237,7.10944881889764,6.92562576938859,7.10347107438017
Girl Friends,8.12,manga,finished,2006-10-21,2010-08-21,43755,2821,TRUE,6.75474431818182,6.99883732920856,6.92562576938859,6.73137931034483
Hikaru no Go,8.12,manga,finished,1998-12-08,2003-07-14,41946,1866,TRUE,7.2244030381219275,7.07371794871795,7.02829368334701,6.91140992167102
Kuragehime,8.26,manga,finished,2008-10-25,2017-08-25,36203,1854,TRUE,7.38430147260377,7.30103806584362,6.93841503267974,7.2965
Hana nomi zo Shiru,8.24,manga,finished,2009-10-19,2012-07-19,26531,752,FALSE,6.991558365831445,6.93,6.93,7.28581395348837
Machida-kun no Sekai,8.37,manga,finished,2013-06-13,2018-04-13,23078,753,TRUE,7.78292181069959,6.99883732920856,7.01893118148599,7.10311688311688
My Girl,8.4,manga,finished,2006-06-02,2010-09-03,26778,657,TRUE,7.103990983338125,7.54628571428571,6.92562576938859,7.14958333333333
Nodame Cantabile,8.42,manga,finished,2001-07-10,2010-08-25,24725,850,TRUE,7.217704526515453,7.39545808219178,6.93841503267974,7.2965
Sotsugyousei,8.53,manga,finished,2008-01-25,2009-08-28,17173,362,FALSE,7.014806106831068,6.93,6.93,7.09974358974359
Shin Angyo Onshi,8.35,manga,finished,2001-03-19,2007-08-18,32045,1218,TRUE,7.06485827652899,7.16427514792899,6.92562576938859,7.108125
Genshiken,8.24,manga,finished,2002-04-25,2016-08-25,36369,1918,TRUE,7.0645543670614,7.24041866460428,6.92562576938859,7.10347107438017
Ookami Kodomo no Ame to Yuki,8.35,manga,finished,2012-04-04,2013-08-03,21982,516,TRUE,7.063513166640685,7.54628571428571,6.92562576938859,6.9187323943662
Deadman Wonderland,7.98,manga,finished,2007-04-26,2013-07-26,186946,8983,TRUE,7.05848261463143,7.334687239713476,7.02829368334701,7.00973214285714
Toaru Majutsu no Index,8.39,light_novel,finished,2004-04-10,2010-10-10,27264,1676,TRUE,7.018052658069738,7.01019417475728,6.93,6.93
Kodomo no Omocha,8.3,manga,finished,1994-07-02,1998-10-03,20113,1083,TRUE,7.196239402062336,7.32619494583807,7.01893118148599,7.14390728476821
Kareshi Kanojo no Jijou,8.17,manga,finished,1995-12-22,2005-05-10,35424,1582,TRUE,7.033557379061904,6.99883732920856,7.01893118148599,7.19299145299145
Bokura wa Minna Kawai-sou,8.15,manga,finished,2010-04-30,2018-05-30,38932,1396,TRUE,7.051107580427135,6.99883732920856,6.92562576938859,6.98133333333333
5-toubun no Hanayome,7.96,manga,finished,2017-08-09,2020-02-19,148561,10363,TRUE,7.257738347878477,6.97017016761029,7.02829368334701,7.25005747126437
Fate/Zero,8.53,light_novel,finished,2006-12-29,2007-12-29,24955,888,TRUE,7.031667287956647,6.93,6.93,6.93
Shokugeki no Souma,7.96,manga,finished,2012-11-26,2019-08-29,169790,10274,TRUE,7.20672727272727,6.99883732920856,7.02829368334701,6.91140992167102
Tokidoki,8.05,one_shot,finished,2016-10-20,2016-10-20,38752,889,TRUE,7.05749550133888,6.99883732920856,7.02829368334701,7.02916666666667
