title,score,type,source,members,favorites,rating,genres_score,themes_score,studios_score,demographics_score,producers_score
Haikyuu!! Second Season,8.64,tv,manga,1258442,15129,pg_13,6.83221476510067,7.002479515729795,7.05663157894737,7.07873015873016,7.319341003785453
Howl no Ugoku Shiro,8.66,movie,novel,1146746,23939,g,6.835359100927082,6.54,6.86823529411765,6.54,7.02014705882353
Tengen Toppa Gurren Lagann,8.63,tv,original,1461920,72587,pg_13,6.72468232187553,6.66172110552764,6.72986666666667,6.54,7.1018619561059335
Mononoke Hime,8.68,movie,original,1109949,19053,pg_13,6.7571336568422264,6.54,6.86823529411765,6.54,7.25508442265795
Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.66,movie,manga,1186991,11878,r,6.74022961147693,6.83417227456258,7.27539682539683,7.07873015873016,7.389236810541705
Kimetsu no Yaiba: Yuukaku-hen,8.86,tv,manga,937841,20645,r,6.74022961147693,6.83417227456258,7.27539682539683,7.07873015873016,6.54
Vinland Saga,8.73,tv,manga,1131303,33881,r,6.84263189175968,6.83417227456258,7.38183333333333,6.98755434782609,7.41668208661371
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.65,tv,manga,1114716,18430,pg_13,6.66621791767554,7.14075760174911,7.15838095238095,6.98755434782609,7.378583534192877
Mob Psycho 100,8.48,tv,web_manga,1759661,39581,pg_13,6.777396859676354,6.81006637168142,7.32328671328671,6.54,7.14040013445473
Made in Abyss,8.67,tv,web_manga,1160278,38020,r,6.8407377500005415,6.54,6.79037735849057,6.54,7.163221187162383
Haikyuu!!,8.45,tv,manga,1722363,67117,pg_13,6.83221476510067,7.002479515729795,7.05663157894737,7.07873015873016,7.233103455892733
Spy x Family,8.82,tv,manga,922792,29844,pg_13,6.718383358588315,7.60871794871795,7.25626550387597,7.07873015873016,7.254288249087625
Fate/Zero 2nd Season,8.56,tv,light_novel,1014815,19468,r,6.791961028268763,6.54,7.27539682539683,6.54,7.6476560872858075
Ansatsu Kyoushitsu 2nd Season,8.5,tv,manga,1253736,16695,pg_13,6.718383358588315,6.90549795361528,7.25574074074074,7.07873015873016,7.199459340757373
Shingeki no Kyojin: The Final Season Part 2,8.82,tv,manga,905001,26577,r,6.8684769638531105,7.04927697904036,7.13375,7.07873015873016,7.314474405380434
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.41,tv,manga,1461457,34404,pg_13,6.66621791767554,7.14075760174911,7.15838095238095,6.98755434782609,7.322422382909858
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.58,tv,manga,857900,27805,r,6.7807452735369544,7.31794117647059,7.29538461538462,7.07873015873016,7.183551963780032
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.5,tv,manga,952930,35034,r,6.817907490961402,6.54,7.29538461538462,7.07873015873016,7.183551963780032
Neon Genesis Evangelion: The End of Evangelion,8.55,movie,original,802847,24715,r+,6.2882872827979,6.787685478579845,6.8932491228070205,6.54,6.987307853318453
Kiseijuu: Sei no Kakuritsu,8.35,tv,manga,1654705,31493,r,6.56420168153236,6.9824336214682,6.98389728096677,6.98755434782609,7.043768464476147
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,8.44,tv,manga,949735,18405,r,6.855829884282867,6.54,7.29538461538462,7.07873015873016,7.17646307640037
Samurai Champloo,8.5,tv,original,1114174,33761,r,6.742569488249816,6.809370087898575,7.27555555555556,7.07873015873016,7.005657300925842
Kimi no Suizou wo Tabetai,8.57,movie,novel,787056,17518,pg_13,6.870398986175734,6.54,6.95,6.54,7.27180966830595
Neon Genesis Evangelion,8.34,tv,original,1577958,92424,pg_13,6.408852661973698,6.787685478579845,6.73399273927393,6.54,7.13180019802713
Boku dake ga Inai Machi,8.31,tv,manga,1852327,43956,r,7.06541062801932,7.001775420865529,7.15838095238095,6.98755434782609,7.227010169656831
Gintama,8.95,tv,manga,954554,55076,pg_13,6.7025958466431,6.848982067758812,6.97081683168317,7.07873015873016,7.768331619035871
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.33,tv,original,1475164,31578,pg_13,6.87748057196734,6.54,7.15838095238095,6.54,7.3438937843777605
Ookami Kodomo no Ame to Yuki,8.59,movie,original,742812,10646,g,6.740261574648615,7.60871794871795,6.85571428571429,6.54,7.16363318680674
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.73,tv,light_novel,621116,14756,r,6.722286024550677,7.173460038986355,8.36,6.54,7.1511199836837065
Psycho-Pass,8.35,tv,original,1479179,36094,r,6.829790346897827,7.085703544325563,7.05663157894737,6.54,7.271173310826661
Mahou Shoujo Madoka★Magica,8.36,tv,original,1165286,49685,pg_13,7.007103273322425,6.980375221674015,7.12786259541985,6.54,7.296146646514116
Saiki Kusuo no Ψ-nan,8.43,tv,manga,937128,25126,pg_13,6.7808208897639854,7.098634691093355,7.57430393586006,7.07873015873016,7.123767917657659
Great Teacher Onizuka,8.69,tv,manga,734523,23555,r,6.816311522940335,7.0124299151356935,6.81260683760684,7.07873015873016,7.279355214864655
Bakemonogatari,8.34,tv,light_novel,1289959,46452,r,6.945004531449787,6.84992481203007,7.12786259541985,6.54,7.42214143156624
Re:Zero kara Hajimeru Isekai Seikatsu,8.25,tv,light_novel,1949028,61663,r,6.90803899003254,7.031885368296317,7.23772727272727,6.54,7.104890692952713
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.62,movie,light_novel,597227,9227,pg_13,6.91200269817839,6.90549795361528,7.13069767441861,6.54,7.107228131613668
Naruto: Shippuuden,8.24,tv,manga,2151550,98934,pg_13,6.7571336568422264,6.8125641025641,6.81260683760684,7.07873015873016,7.060157633537025
Dr. Stone,8.29,tv,manga,1469027,24380,pg_13,6.709393496000343,7.147450495049505,7.08680751173709,7.07873015873016,7.625873915450167
Mushoku Tensei: Isekai Ittara Honki Dasu,8.37,tv,light_novel,970325,23516,r,6.722286024550677,7.173460038986355,8.36,6.54,7.065032762886623
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,8.27,tv,light_novel,1488839,42100,pg_13,6.850556503052678,6.90549795361528,7.13069767441861,6.54,7.107228131613668
Kono Subarashii Sekai ni Shukufuku wo! 2,8.28,tv,light_novel,1331506,11352,pg_13,6.722356696233709,6.944112248213127,6.99734615384615,6.54,6.969630282071244
Monogatari Series: Second Season,8.77,tv,light_novel,616225,22486,r,6.875307878006225,6.84992481203007,7.12786259541985,6.54,7.321760954377494
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,8.37,tv,light_novel,948527,10883,r,6.90803899003254,7.031885368296317,7.23772727272727,6.54,7.147698039791966
Haikyuu!! To the Top Part 2,8.54,tv,manga,669148,5577,pg_13,6.83221476510067,7.002479515729795,7.05663157894737,7.07873015873016,7.319341003785453
Monster,8.84,tv,manga,873348,39677,r+,7.02653905822139,7.153891854949885,6.98389728096677,6.98755434782609,7.185987654320987
Fate/Zero,8.29,tv,light_novel,1367912,32207,r,6.791961028268763,6.54,7.27539682539683,6.54,7.6476560872858075
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.48,tv,light_novel,717910,11214,r,6.90803899003254,7.031885368296317,7.23772727272727,6.54,7.147698039791966
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,8.47,movie,light_novel,651583,4363,pg_13,6.722356696233709,6.944112248213127,6.85110787172012,6.54,6.54
Kaguya-sama wa Kokurasetai: Ultra Romantic,9.14,tv,manga,594666,19952,pg_13,6.85700966805763,7.14075760174911,7.15838095238095,6.98755434782609,7.322422382909858
Steins;Gate 0,8.52,tv,visual_novel,771198,10699,pg_13,6.895075789799173,7.08990099009901,7.23772727272727,6.54,7.0917661742567075
Haikyuu!! To the Top,8.36,tv,manga,788356,4787,pg_13,6.83221476510067,7.002479515729795,7.05663157894737,7.07873015873016,7.319341003785453
Tensei shitara Slime Datta Ken 2nd Season,8.4,tv,manga,754114,9674,pg_13,6.734404722050555,7.051893779744657,7.14875,6.54,7.46961089494163
Fate/stay night: Unlimited Blade Works 2nd Season,8.32,tv,visual_novel,773763,8737,r,6.791961028268763,6.54,7.27539682539683,6.54,7.53066931742876
Hellsing Ultimate,8.36,ova,manga,829358,19580,r,6.6390026945656135,7.046722401854717,6.90382373523265,6.98755434782609,7.123158584534734
Hotaru no Haka,8.5,movie,novel,585799,6871,pg_13,6.96640512820513,6.83417227456258,6.86823529411765,6.54,6.54
Tonari no Totoro,8.26,movie,original,936544,7268,g,6.843182804712625,6.54,6.86823529411765,6.54,6.77037037037037
Tenki no Ko,8.31,movie,original,818400,10743,pg_13,6.830276845494993,6.54,6.722,6.54,7.550073729681146
Boku no Hero Academia 2nd Season,8.15,tv,manga,2236970,17126,pg_13,6.77054879950109,6.85778216264835,7.32328671328671,7.07873015873016,7.278139802584254
Sono Bisque Doll wa Koi wo Suru,8.34,tv,manga,721792,15834,pg_13,6.822395915161035,7.08881455057813,7.13069767441861,6.98755434782609,7.046281400214986
Suzumiya Haruhi no Shoushitsu,8.62,movie,light_novel,564673,12682,pg_13,6.87728510420814,6.90549795361528,7.30837398373984,6.54,7.321788359788361
Grand Blue,8.43,tv,manga,653905,16556,pg_13,6.66621791767554,6.54,6.50318181818182,6.98755434782609,7.1849359149746475
Perfect Blue,8.53,movie,novel,578354,15358,r+,6.148292149328117,7.1778976002696195,6.98389728096677,6.54,8.53
Shokugeki no Souma,8.18,tv,manga,1495603,23019,pg_13,6.596977143350005,6.90549795361528,6.85110787172012,7.07873015873016,7.274175191460217
Banana Fish,8.5,tv,manga,727669,26784,r,6.84263189175968,7.1562962962963,7.13375,6.86086440677966,7.263251904807064
Nichijou,8.46,tv,manga,797187,21070,pg_13,6.66621791767554,7.098634691093355,7.30837398373984,7.07873015873016,7.210058500752413
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,8.22,tv,light_novel,945667,15393,pg_13,6.7701985110765754,7.136009846372855,6.71623188405797,6.54,7.064777777777777
Kenpuu Denki Berserk,8.54,tv,manga,548529,22698,r+,6.7307108971545935,6.91719739946078,6.64057692307692,6.98755434782609,7.36256172839506
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.46,movie,visual_novel,540416,2415,pg_13,6.8187129754789,6.54,7.23772727272727,6.54,7.06821096007166
Horimiya,8.21,tv,manga,1060963,27799,pg_13,6.87417910447761,6.90549795361528,7.13069767441861,7.07873015873016,7.176843245629861
Death Parade,8.16,tv,original,1572091,25928,r,6.9698768028324265,7.164052903299924,6.98389728096677,6.54,7.089150830586257
Saiki Kusuo no Ψ-nan 2,8.44,tv,manga,549538,3882,pg_13,6.7808208897639854,7.098634691093355,7.57430393586006,7.07873015873016,7.138871162988797
Kuroko no Basket 3rd Season,8.31,tv,manga,675754,4824,pg_13,6.83221476510067,7.002479515729795,7.05663157894737,7.07873015873016,7.167902811182661
Baccano!,8.38,tv,light_novel,837465,22388,r,6.8494003017620955,7.076056725516585,7.02521276595745,6.54,7.27979394426478
Mushishi,8.67,tv,manga,747783,24772,pg_13,6.84645987734836,7.26302664745137,6.90953488372093,6.98755434782609,7.122547373641538
Noragami Aragoto,8.17,tv,manga,1323286,11160,pg_13,6.74022961147693,6.80876126126126,7.32328671328671,7.07873015873016,7.226628285656582
Hotarubi no Mori e,8.3,movie,manga,740943,9598,g,6.91200269817839,6.54,7.02521276595745,6.86086440677966,7.1980707891173665
Dororo,8.23,tv,manga,1031529,17245,r,6.818971469642113,6.8091671456861365,6.87423349056604,7.07873015873016,7.37055555555556
Hajime no Ippo,8.75,tv,manga,489353,17907,pg_13,6.83221476510067,6.83,6.98389728096677,7.07873015873016,7.18
Kizumonogatari III: Reiketsu-hen,8.8,movie,light_novel,408886,6822,r,6.910461096457613,6.84992481203007,7.12786259541985,6.54,7.42214143156624
Gintama°,9.08,tv,manga,544926,14666,pg_13,6.7025958466431,6.848982067758812,7.15023255813954,7.07873015873016,7.307395449008403
Kono Subarashii Sekai ni Shukufuku wo!,8.12,tv,light_novel,1722350,41238,pg_13,6.722356696233709,6.944112248213127,6.99734615384615,6.54,6.944703505805183
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,8.38,tv,light_novel,615480,12672,pg_13,6.7701985110765754,7.136009846372855,6.71623188405797,6.54,7.070236181380552
Kuroko no Basket 2nd Season,8.23,tv,manga,764345,4223,pg_13,6.83221476510067,7.002479515729795,7.05663157894737,7.07873015873016,7.167902811182661
Yuu☆Yuu☆Hakusho,8.45,tv,manga,606555,20126,pg_13,6.777396859676354,6.81066268191268,6.81260683760684,7.07873015873016,7.142906327543425
Fate/stay night: Unlimited Blade Works,8.19,tv,visual_novel,958164,15296,r,6.791961028268763,6.54,7.27539682539683,6.54,7.53066931742876
No Game No Life,8.1,tv,light_novel,2176564,46424,pg_13,6.622223621040813,6.7490663302090805,6.98389728096677,6.54,7.062846837129823
Dragon Ball Z,8.15,tv,manga,1106679,33416,pg_13,6.734404722050555,6.81131523712276,6.80722772277228,7.07873015873016,7.18403846153846
Gintama',9.05,tv,manga,480198,7169,pg_13,6.7025958466431,6.848982067758812,6.97081683168317,7.07873015873016,7.554464023217056
Toradora!,8.1,tv,light_novel,1997587,53508,pg_13,6.92029211634137,7.136009846372855,6.85110787172012,6.54,7.023332189150982
Barakamon,8.39,tv,web_manga,604204,12084,pg_13,6.77061272584446,7.41082561095621,6.79037735849057,6.54,7.24273148148148
Ouran Koukou Host Club,8.16,tv,manga,1020434,31232,pg_13,6.7701985110765754,6.717816360478277,7.32328671328671,6.86086440677966,7.36256172839506
Kizumonogatari II: Nekketsu-hen,8.59,movie,light_novel,397737,2194,r,6.910461096457613,6.84992481203007,7.12786259541985,6.54,7.42214143156624
Fullmetal Alchemist,8.12,tv,manga,1362542,24723,r,6.809451524682952,6.89161354581673,7.32328671328671,7.07873015873016,7.343228327194195
Tensei shitara Slime Datta Ken,8.13,tv,manga,1191306,24281,pg_13,6.734404722050555,7.051893779744657,7.14875,6.54,7.264158747770386
Ansatsu Kyoushitsu,8.1,tv,manga,1762851,27045,pg_13,6.718383358588315,6.90549795361528,7.25574074074074,7.07873015873016,7.146180999743549
Magi: The Kingdom of Magic,8.23,tv,manga,772775,7387,pg_13,6.7571336568422264,6.54,7.15838095238095,7.07873015873016,7.249209048421681
Boku no Hero Academia 3rd Season,8.08,tv,manga,1922920,12701,pg_13,6.77054879950109,6.85778216264835,7.32328671328671,7.07873015873016,7.278139802584254
No Game No Life: Zero,8.22,movie,light_novel,778711,7252,pg_13,6.850164885378503,7.09210526315789,6.98389728096677,6.54,7.0960628542844
Black Clover,8.12,tv,manga,1376433,38373,pg_13,6.715559046876466,6.54,6.81260683760684,7.07873015873016,7.182564219663374
Shingeki no Kyojin: Kuinaki Sentaku,8.41,ova,visual_novel,453625,1802,r,6.77054879950109,6.54,7.38183333333333,6.86086440677966,7.344595092908132
Ousama Ranking,8.61,tv,web_manga,440471,9905,pg_13,6.750426085512794,6.54,7.38183333333333,6.54,7.29290351969872
Danshi Koukousei no Nichijou,8.24,tv,web_manga,742809,13154,pg_13,6.66621791767554,7.098634691093355,6.97081683168317,6.54,7.239145204234138
Tensei shitara Slime Datta Ken 2nd Season Part 2,8.32,tv,manga,561696,9674,pg_13,6.734404722050555,7.051893779744657,7.14875,6.54,7.413187864789734
Angel Beats!,8.07,tv,original,1916978,46382,pg_13,6.93091449502878,6.90549795361528,7.00528301886792,6.54,7.293972058154314
Fumetsu no Anata e,8.38,tv,manga,696162,11833,r,6.88425691254346,6.54,7.02521276595745,7.07873015873016,6.639322202565236
Durarara!!,8.12,tv,light_novel,1300721,29224,r,6.910461096457613,6.54,7.02521276595745,6.54,7.314052471122126
Dr. Stone: Stone Wars,8.18,tv,manga,838826,6678,pg_13,6.709393496000343,7.147450495049505,7.08680751173709,7.07873015873016,7.475933214365402
Bungou Stray Dogs 2nd Season,8.2,tv,manga,716708,6203,r,6.910461096457613,6.81006637168142,7.32328671328671,6.98755434782609,7.14142580729273
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,8.1,tv,manga,1041019,19270,r,6.855829884282867,6.54,7.29538461538462,7.07873015873016,7.17646307640037
Violet Evergarden Movie,8.94,movie,light_novel,455740,6979,pg_13,6.815642759167453,6.54,7.30837398373984,6.54,7.34776785714286
Shokugeki no Souma: Ni no Sara,8.11,tv,manga,1033547,3025,pg_13,6.596977143350005,6.90549795361528,6.85110787172012,7.07873015873016,7.250200314295018
NHK ni Youkoso!,8.32,tv,novel,658206,23719,r+,6.835600716786093,7.092890499586515,6.75540740740741,6.54,6.41115668006333
Sakura-sou no Pet na Kanojo,8.11,tv,light_novel,1143337,25736,pg_13,6.92029211634137,6.984241514121075,6.85110787172012,6.54,7.142487670293353
Hunter x Hunter,8.4,tv,manga,528146,9768,pg_13,6.7571336568422264,6.54,6.95307692307692,7.07873015873016,7.18403846153846
Kimetsu no Yaiba: Mugen Ressha-hen,8.39,tv,manga,458420,3175,r,6.74022961147693,6.83417227456258,7.27539682539683,7.07873015873016,7.389236810541705
Ookami to Koushinryou,8.23,tv,light_novel,748441,17069,pg_13,6.7916770918344,7.114153066415151,6.137,6.54,7.036498831929411
Akira,8.16,movie,manga,737903,11690,r+,6.675794130804466,6.97141546856054,7.10225,6.98755434782609,7.243024492198085
3-gatsu no Lion,8.39,tv,manga,612750,14334,pg_13,6.868508927024795,7.191839718500677,7.12786259541985,6.98755434782609,7.019200021245867
Evangelion: 2.0 You Can (Not) Advance,8.32,movie,original,476359,3175,pg_13,6.802658250152963,6.787685478579845,6.94705882352941,6.54,7.561694329183959
3-gatsu no Lion 2nd Season,8.95,tv,manga,356598,14296,pg_13,6.868508927024795,7.191839718500677,7.12786259541985,6.98755434782609,7.019200021245867
Kizumonogatari I: Tekketsu-hen,8.38,movie,light_novel,475240,3179,r,6.54,6.84992481203007,7.12786259541985,6.54,7.42214143156624
Fruits Basket 2nd Season,8.57,tv,manga,411389,5179,pg_13,6.91200269817839,6.54,7.08680751173709,6.86086440677966,7.355793172099676
Fruits Basket: The Final,9.03,tv,manga,361617,16746,pg_13,6.91200269817839,6.54,7.08680751173709,6.86086440677966,7.355793172099676
Nana,8.52,tv,manga,559062,23736,r+,6.870398986175734,6.954881744901283,6.98389728096677,6.86086440677966,7.296421538618507
Given,8.34,tv,manga,477718,15196,pg_13,6.786486289991513,6.1039896373057,7.25574074074074,6.54,7.23139909095425
Koukaku Kidoutai,8.28,movie,manga,561743,11339,r+,6.7207848111268795,6.979707934626083,7.05663157894737,6.98755434782609,7.252277823161425
Kill la Kill,8.04,tv,original,1566415,35278,pg_13,6.64243641305692,6.85778216264835,6.82933333333333,6.54,7.247183415522504
Zankyou no Terror,8.1,tv,original,1039825,20365,r,7.05660602322952,6.91364985163205,7.13375,6.54,7.282569480943504
Kuroko no Basket,8.08,tv,manga,1074843,19843,pg_13,6.83221476510067,7.002479515729795,7.05663157894737,7.07873015873016,7.2066258330085615
Owarimonogatari,8.46,tv,light_novel,438654,2710,r,6.875684135849097,6.84992481203007,7.12786259541985,6.54,7.37467196819085
Trigun,8.22,tv,manga,668309,13471,pg_13,6.7730268831414495,7.39413385826772,6.98389728096677,7.07873015873016,6.63840579710145
Hyouka,8.09,tv,novel,1228519,25078,pg_13,6.91801167693189,6.90549795361528,7.30837398373984,6.54,7.183742492307366
Ookami to Koushinryou II,8.33,tv,light_novel,453969,4119,pg_13,6.7916770918344,7.114153066415151,7.136356382978725,6.54,7.388068181818181
Owarimonogatari 2nd Season,8.9,tv,light_novel,353322,8118,r,6.875684135849097,6.84992481203007,7.12786259541985,6.54,7.42214143156624
Tokyo Revengers,8.1,tv,manga,973154,23222,r,6.877459263186217,7.05056508000353,6.80375,7.07873015873016,7.103629537087447
Nisemonogatari,8.15,tv,light_novel,681833,3790,r,6.779398732385355,6.54,7.12786259541985,6.54,7.34086424076247
Toki wo Kakeru Shoujo,8.13,movie,novel,730064,5553,g,6.8372016851451365,6.997699471857144,6.98389728096677,6.54,7.044382628540817
Fruits Basket 1st Season,8.22,tv,manga,684914,13232,pg_13,6.850164885378503,7.36652173913043,7.08680751173709,6.86086440677966,7.355793172099676
Usagi Drop,8.38,tv,manga,457521,5891,pg_13,6.77061272584446,7.58474587912088,7.05663157894737,6.95010752688172,7.228060254742966
Majo no Takkyuubin,8.21,movie,novel,500994,4675,g,6.783368804226565,6.54,6.86823529411765,6.54,7.00740740740741
Shinsekai yori,8.3,tv,novel,722097,21245,r,6.7698591726345745,6.91364985163205,7.15838095238095,6.54,7.106019184289424
Sora yori mo Tooi Basho,8.53,tv,original,444585,12800,pg_13,6.807854931151163,6.54,6.98389728096677,6.54,7.144502281579241
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,8.46,movie,original,341803,7858,pg_13,7.02653905822139,6.980375221674015,7.12786259541985,6.54,7.296146646514116
Steins;Gate: Oukoubakko no Poriomania,8.3,special,visual_novel,403348,771,pg_13,6.668619370214104,7.08990099009901,7.23772727272727,6.54,7.04096296296296
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,8.52,movie,visual_novel,329030,3242,r,6.791961028268763,6.54,7.27539682539683,6.54,7.40666971836291
Naruto,7.97,tv,manga,2519711,70739,pg_13,6.7571336568422264,6.8125641025641,6.81260683760684,7.07873015873016,7.290584957027804
Tenkuu no Shiro Laputa,8.27,movie,original,426733,3680,pg,6.761513024563968,6.54,6.86823529411765,6.54,7.106056644880175
K-On!!,8.17,tv,4_koma_manga,628794,13710,pg_13,6.66621791767554,6.70261707576154,7.30837398373984,6.54,7.169840093007986
86,8.25,tv,light_novel,552690,12529,r,6.802658250152963,6.776667325672185,7.15838095238095,6.54,7.329447496140687
Tate no Yuusha no Nariagari,8.01,tv,light_novel,1361805,25359,pg_13,6.809451524682952,7.09210526315789,6.79037735849057,6.54,7.003382255571783
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,8.02,tv,light_novel,1275698,26613,pg_13,6.7701985110765754,7.136009846372855,7.02521276595745,6.54,7.138034156323078
Bakuman. 3rd Season,8.54,tv,manga,308471,2872,pg_13,6.835600716786093,7.27213114754098,6.85110787172012,7.07873015873016,6.793854607958885
Great Pretender,8.26,tv,original,546178,8687,r,6.875633725031077,6.54,7.38183333333333,6.54,7.283025155425636
Kobayashi-san Chi no Maid Dragon S,8.36,tv,manga,456627,5588,pg_13,6.740261574648615,6.54,7.30837398373984,6.54,7.26977505694761
86 Part 2,8.71,tv,light_novel,327495,9444,r,6.802658250152963,6.776667325672185,7.15838095238095,6.54,7.329447496140687
Vivy: Fluorite Eye's Song,8.44,tv,original,432926,9021,r,6.829790346897827,6.596945313702355,7.38183333333333,6.54,7.37467196819085
Kaichou wa Maid-sama!,8.02,tv,manga,1133426,21289,pg_13,6.7701985110765754,6.90549795361528,6.85110787172012,6.86086440677966,7.164851577289937
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,8.41,movie,light_novel,343553,1279,pg_13,6.815642759167453,6.54,7.30837398373984,6.54,7.34776785714286
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.66,movie,web_manga,345093,2806,r,6.8407377500005415,6.54,6.79037735849057,6.54,7.94166666666667
Kaze no Tani no Nausicaä,8.36,movie,manga,333422,4520,pg_13,6.750426085512794,6.54,6.508,6.54,6.54
Clannad,8.01,tv,visual_novel,1307938,26551,pg_13,6.91200269817839,6.90549795361528,7.30837398373984,6.54,7.16772265147125
Noragami,7.96,tv,manga,1955318,31302,pg_13,6.74022961147693,6.80876126126126,7.32328671328671,7.07873015873016,7.194914250573394
Shokugeki no Souma: San no Sara,8.03,tv,manga,877272,2581,pg_13,6.596977143350005,6.90549795361528,6.85110787172012,7.07873015873016,7.2185644922538375
Odd Taxi,8.73,tv,original,321729,6644,pg_13,7.06541062801932,7.00648351648352,6.80228846153846,6.54,7.300917722321961
Gintama': Enchousen,9.04,tv,manga,285935,2813,pg_13,6.7025958466431,6.848982067758812,6.97081683168317,7.07873015873016,7.357197599983555
Ping Pong the Animation,8.62,tv,manga,347071,14149,pg_13,6.899309946652901,6.54,6.73811881188119,6.98755434782609,7.615819480943504
